model year,make,model,vehicle class,engine size (l),cylinders,transmission,fuel type,fuel consumption city (l/100 km),fuel consumption hwy (l/100 km),fuel consumption comb (l/100 km),fuel consumption comb (mpg),co2 emissions (g/km),co2 rating,smog rating
2022,Audi,A5 Sportback 45 TFSI quattro,Mid-size,2.0,4,AM7,Z,9.8,7.6,8.8,32,205,6,5
2022,Audi,A6 Sedan 45 TFSI quattro,Mid-size,2.0,4,AM7,Z,10.2,7.4,8.9,32,208,6,5
2022,Audi,A6 Sedan 55 TFSI quattro,Mid-size,3.0,6,AM7,Z,11.1,7.8,9.6,29,224,5,5
2022,Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3.0,6,AM7,Z,11.5,8.3,10.0,28,234,5,5
2022,Audi,A7 Sportback 55 TFSI quattro,Mid-size,3.0,6,AM7,Z,11.1,7.8,9.6,29,224,5,5
2022,Audi,A8 L Sedan 55 TFSI quattro,Full-size,3.0,6,AS8,Z,12.6,8.3,10.6,27,248,5,5
2022,Audi,Q3 40 TFSI quattro,SUV: Small,2.0,4,AS8,X,10.4,7.7,9.2,31,215,5,7
2022,Audi,Q3 45 TFSI quattro,SUV: Small,2.0,4,AS8,X,11.4,8.3,10.0,28,233,5,7
2022,Audi,Q5 40 TFSI quattro,SUV: Small,2.0,4,AM7,Z,10.3,8.1,9.3,30,217,5,5
2022,Audi,Q5 45 TFSI quattro,SUV: Small,2.0,4,AM7,Z,10.3,8.4,9.4,30,220,5,5
2022,Audi,Q5 Sportback 45 TFSI quattro,SUV: Small,2.0,4,AM7,Z,10.3,8.4,9.4,30,220,5,5
2022,Audi,Q7 45 TFSI quattro,SUV: Standard,2.0,4,AS8,Z,12.0,9.4,10.8,26,252,5,3
2022,Audi,Q7 55 TFSI quattro,SUV: Standard,3.0,6,AS8,Z,12.8,10.5,11.7,24,273,4,5
2022,Audi,Q8 55 TFSI quattro,SUV: Standard,3.0,6,AS8,Z,12.8,10.5,11.7,24,273,4,5
2022,Audi,R8 Coupe Performance,Two-seater,5.2,10,AM7,Z,16.7,10.3,13.8,20,322,3,1
2022,Audi,R8 Coupe Performance quattro,Two-seater,5.2,10,AM7,Z,17.9,12.1,15.3,18,356,3,1
2022,Audi,R8 Spyder Performance,Two-seater,5.2,10,AM7,Z,16.7,10.3,13.8,20,322,3,1
2022,Audi,R8 Spyder Performance quattro,Two-seater,5.2,10,AM7,Z,17.9,12.1,15.3,18,356,3,1
2022,Audi,RS 5 Coupe quattro,Subcompact,2.9,6,AS8,Z,13.0,9.4,11.4,25,267,4,5
2022,Audi,RS 5 Sportback quattro,Mid-size,2.9,6,AS8,Z,13.1,9.4,11.4,25,268,4,5
2022,Audi,RS 6 Avant quattro,Station wagon: Mid-size,4.0,8,AS8,Z,16.1,10.7,13.7,21,319,3,3
2022,Audi,RS 7 Sportback quattro,Mid-size,4.0,8,AS8,Z,16.0,10.5,13.5,21,315,3,3
2022,Audi,RS Q8 quattro,SUV: Standard,4.0,8,AS8,Z,18.0,12.3,15.4,18,360,2,3
2022,Audi,S3 Sedan quattro,Subcompact,2.0,4,AM7,Z,10.0,7.2,8.8,32,206,6,5
2022,Audi,S4 Sedan quattro,Compact,3.0,6,AS8,Z,11.1,8.0,9.7,29,227,5,5
2022,Audi,S5 Cabriolet quattro,Subcompact,3.0,6,AS8,Z,11.3,8.4,10.0,28,233,5,5
2022,Audi,S5 Coupe quattro,Subcompact,3.0,6,AS8,Z,11.1,8.0,9.7,29,227,5,5
2022,Audi,S5 Sportback quattro,Mid-size,3.0,6,AS8,Z,11.1,8.0,9.7,29,227,5,5
2022,Audi,S6 Sedan quattro,Mid-size,2.9,6,AS8,Z,12.8,8.5,10.9,26,254,5,5
2022,Audi,S7 Sportback quattro,Mid-size,2.9,6,AS8,Z,12.8,8.5,10.9,26,254,5,5
2022,Audi,S8 Sedan quattro,Full-size,4.0,8,AS8,Z,16.9,10.2,13.8,20,323,3,3
2022,Audi,SQ5 quattro,SUV: Small,3.0,6,AS8,Z,12.5,9.7,11.2,25,262,4,5
2022,Audi,SQ5 Sportback quattro,SUV: Small,3.0,6,AS8,Z,12.5,9.7,11.2,25,262,4,5
2022,Audi,SQ7 quattro,SUV: Standard,4.0,8,AS8,Z,16.0,11.4,13.9,20,325,3,3
2022,Audi,SQ8 quattro,SUV: Standard,4.0,8,AS8,Z,16.0,11.4,13.9,20,325,3,3
2022,Audi,TT Coupe 45 TFSI quattro,Subcompact,2.0,4,AM7,X,10.5,7.9,9.4,30,218,5,7
2022,Audi,TT Roadster 45 TFSI quattro,Two-seater,2.0,4,AM7,X,10.5,7.9,9.4,30,218,5,7
2022,Audi,TTS Coupe quattro,Subcompact,2.0,4,AM7,Z,10.0,7.7,9.0,31,209,5,3
2022,Bentley,Bentayga,SUV: Standard,4.0,8,AS8,Z,15.8,9.9,13.2,21,309,3,3
2022,Bentley,Bentayga Speed,SUV: Standard,6.0,12,AS8,Z,19.0,13.0,16.3,17,383,2,3
2022,Bentley,Continental GT,Subcompact,4.0,8,AM8,Z,14.9,9.0,12.2,23,287,4,3
2022,Bentley,Continental GT Speed,Subcompact,6.0,12,AM8,Z,19.6,12.0,16.2,17,379,2,3
2022,Bentley,Continental GT Convertible,Minicompact,4.0,8,AM8,Z,15.2,9.2,12.5,23,294,4,3
2022,Bentley,Continental GT Convertible Speed,Minicompact,6.0,12,AM8,Z,20.3,12.9,17.0,17,395,2,3
2022,Bentley,Flying Spur,Mid-size,4.0,8,AM8,Z,15.5,11.6,13.7,21,323,3,3
2022,Bentley,Flying Spur,Mid-size,6.0,12,AM8,Z,19.2,12.2,16.0,18,373,2,3
2022,BMW,330i xDrive Sedan,Compact,2.0,4,AS8,Z,9.5,6.9,8.3,34,195,6,7
2022,BMW,430i xDrive Cabriolet,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,32,202,6,7
2022,BMW,430i xDrive Coupe,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,32,202,6,7
2022,BMW,530i xDrive Sedan,Mid-size,2.0,4,AS8,Z,10.1,7.4,8.9,32,206,6,7
2022,BMW,540i xDrive Sedan,Full-size,3.0,6,AS8,Z,10.5,8.1,9.4,30,219,5,5
2022,BMW,750i xDrive Sedan,Full-size,4.4,8,AS8,Z,13.9,9.6,12.0,24,279,4,3
2022,BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,Z,13.9,9.6,12.0,24,279,4,3
2022,BMW,Alpina B7,Full-size,4.4,8,AS8,Z,13.9,9.6,12.0,24,279,4,3
2022,BMW,Alpina B8 Gran Coupe,Mid-size,4.4,8,AS8,Z,13.9,9.6,12.0,24,279,4,3
2022,BMW,Alpina XB7,SUV: Standard,4.4,8,AS8,Z,15.7,11.5,13.8,20,321,3,3
2022,BMW,M235i xDrive Gran Coupe,Compact,2.0,4,AS8,Z,10.4,7.8,9.2,31,214,5,3
2022,BMW,M240i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.4,7.5,9.1,31,212,5,5
2022,BMW,M3 Sedan,Compact,3.0,6,M6,Z,14.7,10.1,12.6,22,293,4,5
2022,BMW,M3 Competition Sedan,Compact,3.0,6,AS8,Z,14.5,10.2,12.6,22,292,4,5
2022,BMW,M3 Competition Sedan M xDrive,Compact,3.0,6,AS8,Z,14.6,10.5,12.7,22,296,4,5
2022,BMW,M340i xDrive Sedan,Compact,3.0,6,AS8,Z,10.4,7.7,9.2,31,214,5,5
2022,BMW,M4 Competition Cabriolet M xDrive,Subcompact,3.0,6,AS8,Z,15.1,10.4,12.9,22,301,3,5
2022,BMW,M4 Coupe,Subcompact,3.0,6,M6,Z,14.7,10.1,12.6,22,293,4,5
2022,BMW,M4 Competition Coupe,Subcompact,3.0,6,AS8,Z,14.5,10.2,12.6,22,292,4,5
2022,BMW,M4 Competition Coupe M xDrive,Subcompact,3.0,6,AS8,Z,14.6,10.5,12.7,22,296,4,5
2022,BMW,M440i xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,10.4,7.4,9.1,31,211,5,5
2022,BMW,M440i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.4,7.7,9.2,31,214,5,5
2022,BMW,M440i xDrive Gran Coupe,Compact,3.0,6,AS8,Z,10.9,8.0,9.6,29,224,5,5
2022,BMW,M5 Sedan,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,20,322,3,3
2022,BMW,M5 Competition,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,20,322,3,3
2022,BMW,M5 CS,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,20,322,3,3
2022,BMW,M550i xDrive Sedan,Mid-size,4.4,8,AS8,Z,13.5,9.3,11.6,24,271,4,3
2022,BMW,M760i xDrive Sedan,Full-size,6.6,12,AS8,Z,17.8,11.9,15.1,19,354,3,3
2022,BMW,M8 Cabriolet,Subcompact,4.4,8,AS8,Z,16.1,11.0,13.8,20,322,3,3
2022,BMW,M8 Cabriolet Competition,Subcompact,4.4,8,AS8,Z,16.1,11.0,13.8,20,322,3,3
2022,BMW,M8 Coupe,Subcompact,4.4,8,AS8,Z,16.1,11.0,13.8,20,322,3,3
2022,BMW,M8 Coupe Competition,Subcompact,4.4,8,AS8,Z,16.1,11.0,13.8,20,322,3,3
2022,BMW,M8 Gran Coupe,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,20,322,3,3
2022,BMW,M8 Gran Coupe Competition,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,20,322,3,3
2022,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,13.9,9.6,12.0,24,279,4,3
2022,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,13.5,9.3,11.6,24,271,4,3
2022,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,13.9,9.6,12.0,24,279,4,3
2022,BMW,X1 xDrive28i,SUV: Small,2.0,4,AS8,Z,10.3,7.7,9.1,31,213,5,7
2022,BMW,X2 xDrive28i,SUV: Small,2.0,4,AS8,Z,9.9,7.6,8.8,32,207,6,7
2022,BMW,X2 M35i,SUV: Small,2.0,4,AS8,Z,9.9,7.6,8.9,32,207,6,3
2022,BMW,X3 xDrive30i,SUV: Small,2.0,4,AS8,Z,11.0,8.5,9.9,29,230,5,7
2022,BMW,X3 M,SUV: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
2022,BMW,X3 M Competition,SUV: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
2022,BMW,X3 M40i,SUV: Small,3.0,6,AS8,Z,11.2,9.1,10.3,27,241,5,5
2022,BMW,X4 xDrive30i,SUV: Small,2.0,4,AS8,Z,11.0,8.5,9.9,29,230,5,7
2022,BMW,X4 M,SUV: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
2022,BMW,X4 M Competition,SUV: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
2022,BMW,X4 M40i,SUV: Small,3.0,6,AS8,Z,11.2,9.1,10.3,27,241,5,5
2022,BMW,X5 xDrive40i,SUV: Standard,3.0,6,AS8,Z,11.3,9.2,10.4,27,241,5,3
2022,BMW,X5 M,SUV: Standard,4.4,8,AS8,Z,17.9,13.0,15.7,18,364,2,3
2022,BMW,X5 M Competition,SUV: Standard,4.4,8,AS8,Z,17.9,13.0,15.7,18,364,2,3
2022,BMW,X5 M50i,SUV: Standard,4.4,8,AS8,Z,14.4,10.6,12.7,22,302,3,3
2022,BMW,X6 xDrive40i,SUV: Standard,3.0,6,AS8,Z,11.3,9.2,10.4,27,241,5,3
2022,BMW,X6 M,SUV: Standard,4.4,8,AS8,Z,17.9,13.0,15.7,18,364,2,3
2022,BMW,X6 M Competition,SUV: Standard,4.4,8,AS8,Z,17.9,13.0,15.7,18,364,2,3
2022,BMW,X6 M50i,SUV: Standard,4.4,8,AS8,Z,14.4,10.6,12.7,22,302,3,3
2022,BMW,X7 xDrive40i,SUV: Standard,3.0,6,AS8,Z,12.1,9.8,11.1,25,256,5,3
2022,BMW,X7 M50i,SUV: Standard,4.4,8,AS8,Z,15.7,11.5,13.8,20,321,3,3
2022,BMW,Z4 sDrive30i,Two-seater,2.0,4,AS8,Z,9.4,7.4,8.5,33,199,6,7
2022,BMW,Z4 M40i,Two-seater,3.0,6,AS8,Z,10.8,8.1,9.6,29,223,5,5
2022,Bugatti,Chiron,Two-seater,8.0,16,AM7,Z,26.8,16.6,22.2,13,522,1,1
2022,Bugatti,Chiron Pur Sport,Two-seater,8.0,16,AM7,Z,30.3,20.9,26.1,11,608,1,1
2022,Bugatti,Chiron Super Sport,Two-seater,8.0,16,AM7,Z,30.3,20.9,26.1,11,608,1,1
2022,Buick,Enclave,SUV: Standard,3.6,6,A9,X,13.0,9.1,11.2,25,263,4,6
2022,Buick,Enclave AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,11.8,24,277,4,6
2022,Buick,Encore,SUV: Small,1.4,4,AS6,X,9.7,7.3,8.6,33,201,6,7
2022,Buick,Encore AWD,SUV: Small,1.4,4,AS6,X,10.2,7.7,9.1,31,214,5,7
2022,Buick,Encore GX,SUV: Small,1.2,3,AV,X,8.0,7.6,7.8,36,184,6,7
2022,Buick,Encore GX,SUV: Small,1.3,3,AV,X,8.2,7.4,7.9,36,185,6,7
2022,Buick,Encore GX AWD,SUV: Small,1.3,3,A9,X,9.0,8.3,8.6,33,202,6,7
2022,Buick,Envision,SUV: Small,2.0,4,AS9,X,10.0,7.6,8.9,32,209,5,7
2022,Buick,Envision AWD,SUV: Small,2.0,4,AS9,X,10.5,8.2,9.5,30,220,5,7
2022,Cadillac,CT4,Compact,2.0,4,AS8,Z,10.2,7.0,8.8,32,206,6,7
2022,Cadillac,CT4,Compact,2.7,4,AS10,Z,11.0,7.6,9.5,30,221,5,6
2022,Cadillac,CT4 AWD,Compact,2.0,4,AS8,Z,10.5,7.6,9.2,31,216,5,7
2022,Cadillac,CT4 AWD,Compact,2.7,4,AS10,Z,11.4,8.2,10.0,28,233,5,6
2022,Cadillac,CT4-V,Compact,2.7,4,AS10,Z,11.9,8.2,10.2,28,239,5,6
2022,Cadillac,CT4-V AWD,Compact,2.7,4,AS10,Z,12.0,8.4,10.4,27,244,5,6
2022,Cadillac,CT4-V Blackwing,Compact,3.6,6,AS10,Z,15.0,9.7,12.6,22,297,4,5
2022,Cadillac,CT4-V Blackwing,Compact,3.6,6,M6,Z,15.2,10.2,13.0,22,303,3,5
2022,Cadillac,CT5,Mid-size,2.0,4,AS10,Z,10.3,7.1,8.8,32,207,6,7
2022,Cadillac,CT5,Mid-size,3.0,6,AS10,Z,12.4,8.7,10.7,26,252,5,5
2022,Cadillac,CT5 AWD,Mid-size,2.0,4,AS10,Z,10.9,7.8,9.5,30,222,5,7
2022,Cadillac,CT5 AWD,Mid-size,3.0,6,AS10,Z,12.8,9.1,11.1,25,260,4,5
2022,Cadillac,CT5-V,Mid-size,3.0,6,AS10,Z,12.8,8.7,11.0,26,258,4,5
2022,Cadillac,CT5-V AWD,Mid-size,3.0,6,AS10,Z,12.8,9.1,11.1,25,260,4,5
2022,Cadillac,CT5-V Blackwing,Mid-size,6.2,8,AS10,Z,18.1,10.7,14.8,19,346,3,3
2022,Cadillac,CT5-V Blackwing,Mid-size,6.2,8,M6,Z,18.3,11.4,15.2,19,356,3,3
2022,Cadillac,Escalade 4WD,SUV: Standard,3.0,6,A10,D,11.7,9.0,10.5,27,281,4,3
2022,Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,Z,16.3,12.7,14.7,19,345,3,6
2022,Cadillac,Escalade 4WD (No Stop-Start),SUV: Standard,6.2,8,A10,Z,17.0,12.7,15.1,19,353,3,6
2022,Cadillac,XT4,SUV: Small,2.0,4,AS9,Z,10.0,7.8,9.0,31,211,5,7
2022,Cadillac,XT4 AWD,SUV: Small,2.0,4,AS9,Z,10.9,8.2,9.7,29,225,5,7
2022,Cadillac,XT5,SUV: Small,2.0,4,AS9,Z,10.8,8.2,9.6,29,225,5,7
2022,Cadillac,XT5 AWD,SUV: Small,2.0,4,AS9,Z,11.2,8.7,10.1,28,237,5,7
2022,Cadillac,XT5 AWD,SUV: Small,3.6,6,AS9,X,12.9,9.2,11.2,25,263,4,6
2022,Cadillac,XT6 AWD,SUV: Small,2.0,4,AS9,Z,11.2,9.0,10.2,28,239,5,7
2022,Cadillac,XT6 AWD,SUV: Small,3.6,6,AS9,X,13.1,9.5,11.5,25,269,4,6
2022,Chevrolet,Blazer,SUV: Small,2.0,4,A9,X,10.6,8.0,9.4,30,221,5,7
2022,Chevrolet,Blazer,SUV: Small,3.6,6,A9,X,12.3,8.8,10.7,26,252,5,6
2022,Chevrolet,Blazer AWD,SUV: Small,2.0,4,A9,X,10.8,8.7,9.9,29,232,5,7
2022,Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,X,12.6,9.2,11.0,26,259,4,6
2022,Chevrolet,Camaro,Subcompact,2.0,4,AS8,Z,10.9,7.8,9.5,30,222,5,5
2022,Chevrolet,Camaro,Subcompact,2.0,4,M6,Z,12.6,8.0,10.5,27,239,5,5
2022,Chevrolet,Camaro,Subcompact,3.6,6,AS10,X,12.8,8.1,10.7,26,251,5,6
2022,Chevrolet,Camaro,Subcompact,3.6,6,M6,X,14.4,9.1,12.0,24,281,4,6
2022,Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,Z,14.6,8.9,12.0,24,281,4,1
2022,Chevrolet,Camaro SS,Subcompact,6.2,8,M6,Z,14.9,9.9,12.6,22,296,4,1
2022,Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,Z,18.3,11.2,15.1,19,355,3,1
2022,Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,Z,17.2,12.0,14.9,19,349,3,1
2022,Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,X,12.2,9.4,10.9,26,257,5,6
2022,Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,D,11.8,7.9,10.1,28,270,4,3
2022,Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,X,12.9,9.3,11.3,25,263,4,6
2022,Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,X,12.6,9.9,11.4,25,267,4,6
2022,Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,D,12.2,8.4,10.5,27,283,4,3
2022,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,14.0,9.9,12.1,23,283,4,6
2022,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,D,13.3,10.6,12.1,23,326,3,3
2022,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,X,15.0,13.0,14.1,20,329,3,6
2022,Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,15.1,9.6,12.6,22,297,4,5
2022,Chevrolet,Equinox,SUV: Small,1.5,4,A6,X,8.9,7.7,8.4,34,198,6,7
2022,Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,X,9.4,8.0,8.8,32,208,6,7
2022,Chevrolet,Malibu,Mid-size,1.5,4,AV,X,8.2,6.6,7.5,38,175,7,7
2022,Chevrolet,Malibu,Mid-size,2.0,4,A9,Z,10.7,7.1,9.1,31,213,5,5
2022,Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,12.5,10.6,11.6,24,274,4,6
2022,Chevrolet,Silverado,Pickup truck: Standard,3.0,6,A10,D,10.2,7.5,8.9,32,240,5,3
2022,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,X,16.2,12.3,14.5,19,341,3,3
2022,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,E,21.5,16.0,19.1,15,321,3,3
2022,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,X,15.1,11.3,13.4,21,314,3,6
2022,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A10,X,14.4,11.3,13.0,22,304,3,6
2022,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,13.9,12.0,13.1,22,306,3,6
2022,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,2.7,4,A8,X,14.7,13.1,14.0,20,328,3,6
2022,Chevrolet,Silverado 4WD,Pickup truck: Standard,3.0,6,A10,D,10.9,9.1,10.1,28,272,4,3
2022,Chevrolet,Silverado 4WD (With Sport Mode),Pickup truck: Standard,3.0,6,A10,D,10.5,9.1,9.9,29,265,4,3
2022,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,3.0,6,A10,D,11.8,10.3,11.2,25,298,4,3
2022,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,16.5,12.8,14.8,19,347,3,3
2022,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,22.0,16.4,19.5,14,326,3,3
2022,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A6,X,17.4,14.7,16.2,17,380,2,3
2022,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A6,E,23.1,19.6,21.5,13,358,2,3
2022,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,X,15.6,11.9,13.9,20,327,3,6
2022,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,5.3,8,A8,X,16.9,13.3,15.3,18,359,2,6
2022,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,X,14.7,11.8,13.4,21,314,3,6
2022,Chevrolet,Silverado 4WD (No DFM),Pickup truck: Standard,5.3,8,A10,X,16.8,12.4,14.8,19,347,3,6
2022,Chevrolet,Silverado 4WD (With Sport Mode),Pickup truck: Standard,5.3,8,A10,X,15.3,12.3,13.9,20,327,3,6
2022,Chevrolet,Silverado 4WD (No Stop-Start),Pickup truck: Standard,5.3,8,A10,X,16.1,12.4,14.4,20,339,3,6
2022,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,5.3,8,A10,X,16.6,14.0,15.4,18,361,2,6
2022,Chevrolet,Silverado 4WD Mud Terrain Tire (No Stop-Start),Pickup truck: Standard,5.3,8,A10,X,16.8,13.9,15.5,18,364,2,6
2022,Chevrolet,Silverado 4WD Mud Terrain Tire (No DFM),Pickup truck: Standard,5.3,8,A10,X,18.1,13.8,16.2,17,381,2,6
2022,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,Z,15.7,11.9,14.0,20,329,3,6
2022,Chevrolet,Silverado 4WD (No Stop-Start),Pickup truck: Standard,6.2,8,A10,Z,16.6,12.3,14.7,19,345,3,6
2022,Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,6.2,8,A10,Z,16.5,13.2,15.0,19,352,3,6
2022,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,6.2,8,A10,Z,16.5,13.2,15.0,19,352,3,6
2022,Chevrolet,Silverado 4WD Mud Terrain Tire (No Stop-Start),Pickup truck: Standard,6.2,8,A10,Z,18.2,14.2,16.4,17,385,2,6
2022,Chevrolet,Silverado 4WD ZR2,Pickup truck: Standard,6.2,8,A10,Z,16.7,14.1,15.5,18,366,2,6
2022,Chevrolet,Spark,Subcompact,1.4,4,AV,X,7.7,6.2,7.0,40,165,7,5
2022,Chevrolet,Spark,Subcompact,1.4,4,M5,X,8.0,6.2,7.2,39,170,7,5
2022,Chevrolet,Suburban,SUV: Standard,3.0,6,A10,D,11.2,8.7,10.1,28,272,4,3
2022,Chevrolet,Suburban,SUV: Standard,5.3,8,A10,X,15.8,11.8,14.0,20,327,3,6
2022,Chevrolet,Suburban (No Stop-Start),SUV: Standard,5.3,8,A10,X,16.0,11.9,14.1,20,332,3,6
2022,Chevrolet,Suburban 4WD,SUV: Standard,3.0,6,A10,D,11.7,9.0,10.5,27,281,4,3
2022,Chevrolet,Suburban 4WD,SUV: Standard,5.3,8,A10,X,15.9,12.4,14.3,20,336,3,6
2022,Chevrolet,Suburban 4WD (No Stop-Start),SUV: Standard,5.3,8,A10,X,17.0,12.7,15.1,19,354,3,6
2022,Chevrolet,Suburban 4WD,SUV: Standard,6.2,8,A10,Z,16.3,12.7,14.7,19,345,3,6
2022,Chevrolet,Suburban 4WD (No Stop-Start),SUV: Standard,6.2,8,A10,Z,17.0,12.7,15.1,19,353,3,6
2022,Chevrolet,Tahoe,SUV: Standard,3.0,6,A10,D,11.0,8.4,9.8,29,263,4,3
2022,Chevrolet,Tahoe,SUV: Standard,5.3,8,A10,X,15.8,11.8,14.0,20,327,3,6
